Movie Name,Genre,Duration,Rating,Vote Counts
Moana 2,Family,1h 40m,6.7,88K
Flow,Family,1h 25m,7.9,59K
Sonic the Hedgehog 3,Family,1h 50m,6.9,52K
Mufasa: The Lion King,Family,1h 58m,6.6,47K
The Day the Earth Blew Up: A Looney Tunes Movie,Family,1h 31m,7.0,2K
Paddington in Peru,Family,1h 46m,6.7,17K
Despicable Me 4,Family,1h 34m,6.2,62K
Inside Out 2,Family,1h 36m,7.5,211K
Transformers One,Family,1h 44m,7.6,47K
IF,Family,1h 44m,6.4,57K
Wallace & Gromit: Vengeance Most Fowl,Family,1h 22m,7.5,33K
Harold and the Purple Crayon,Family,1h 30m,5.7,N/A
Kung Fu Panda 4,Family,1h 34m,6.3,67K
The Garfield Movie,Family,1h 41m,5.7,24K
The Forge,Family,2h 4m,6.7,N/A
Hitpig,Family,1h 26m,5.1,832
Young Hearts,Family,1h 39m,8.1,N/A
Descendants: The Rise of Red,Family,1h 31m,4.7,N/A
How to Make Millions Before Grandma Dies,Family,2h 5m,8.0,13K
Faith of Angels,Family,1h 38m,5.9,170
Spellbound,Family,1h 49m,5.7,N/A
Fear,Family,1h 55m,8.5,N/A
Saving Bikini Bottom: The Sandy Cheeks Movie,Family,1h 22m,3.7,N/A
My Penguin Friend,Family,1h 37m,6.7,N/A
Piece by Piece,Family,1h 33m,6.9,N/A
Lost on a Mountain in Maine,Family,1h 38m,6.2,N/A
You Gotta Believe,Family,1h 44m,5.8,N/A
Unsung Hero,Family,1h 53m,7.0,N/A
Megamind vs. The Doom Syndicate,Family,1h 23m,2.5,N/A
Orion and the Dark,Family,1h 33m,6.3,17K
A Sloth Story,Family,1h 30m,5.7,178
That Christmas,Family,1h 31m,6.8,17K
Thelma the Unicorn,Family,1h 33m,5.7,N/A
The Tiger's Apprentice,Family,1h 24m,5.7,N/A
The Lost Tiger,Family,1h 30m,7.8,34
Big World,Family,2h 11m,7.4,990
Guest from the Future,Family,2h 21m,6.0,N/A
200% Wolf,Family,1h 38m,6.0,N/A
Ultraman: Rising,Family,1h 57m,6.9,N/A
Panda Plan,Family,1h 39m,5.1,N/A
10 Lives,Family,1h 28m,5.9,N/A
Doraemon the Movie: Nobita's Earth Symphony,Family,1h 55m,6.6,N/A
The Magician's Raincoat,Family,N/A,5.6,87
Autumn and the Black Jaguar,Family,1h 40m,5.6,963
The Thundermans Return,Family,1h 10m,5.0,N/A
Runt,Family,1h 31m,6.4,498
